case	negative	positive
0162_2003-11-01 00:00:00_Malta.txt	26	30
0060_2001-04-01 00:00:00_Luxembourg.txt	13	29
0068_2001-11-01 00:00:00_Belgium.txt	26	34
0158_2003-11-01 00:00:00_Estonia.txt	23	34
0266_2006-04-01 00:00:00_Luxembourg.txt	11	34
0209_2005-04-01 00:00:00_Estonia.txt	12	44
0022_1999-04-01 00:00:00_Sweden.txt	6	20
0214_2005-04-01 00:00:00_Italy.txt	50	43
0155_2004-04-01 00:00:00_Sweden.txt	19	51
0030_2000-04-01 00:00:00_Netherlands.txt	13	33
0033_2000-04-01 00:00:00_Finland.txt	21	31
0082_2001-11-01 00:00:00_United Kingdom.txt	23	34
0062_2001-04-01 00:00:00_Austria.txt	14	46
0081_2001-11-01 00:00:00_Sweden.txt	21	32
0084_2002-05-01 00:00:00_Germany.txt	44	38
0045_2000-11-01 00:00:00_Luxembourg.txt	6	35
0194_2004-11-01 00:00:00_Netherlands.txt	32	41
0000_1998-10-01 00:00:00_France.txt	6	16
0036_2000-04-01 00:00:00_Sweden.txt	10	45
0233_2005-11-01 00:00:00_Estonia.txt	12	50
0048_2000-11-01 00:00:00_Portugal.txt	21	26
0146_2004-04-01 00:00:00_Spain.txt	14	47
0051_2000-11-01 00:00:00_Sweden.txt	11	50
0196_2004-11-01 00:00:00_Poland.txt	42	57
0118_2003-04-01 00:00:00_Ireland.txt	38	71
0076_2001-11-01 00:00:00_Netherlands.txt	12	29
0095_2002-05-01 00:00:00_Sweden.txt	25	53
0222_2005-04-01 00:00:00_Austria.txt	16	21
0246_2005-11-01 00:00:00_Austria.txt	15	23
0204_2004-11-01 00:00:00_Croatia.txt	15	32
0047_2000-11-01 00:00:00_Austria.txt	21	29
0042_2000-11-01 00:00:00_France.txt	18	22
0011_1999-04-01 00:00:00_Germany.txt	18	34
0153_2004-04-01 00:00:00_Portugal.txt	18	33
0197_2004-11-01 00:00:00_Portugal.txt	20	31
0218_2005-04-01 00:00:00_Luxembourg.txt	13	23
0023_1999-04-01 00:00:00_United Kingdom.txt	13	26
0142_2004-04-01 00:00:00_Belgium.txt	22	38
0092_2002-05-01 00:00:00_Austria.txt	34	48
0169_2004-04-01 00:00:00_Estonia.txt	19	35
0257_2006-04-01 00:00:00_Estonia.txt	16	42
0002_1998-10-01 00:00:00_United Kingdom.txt	4	8
0102_2002-11-01 00:00:00_France.txt	22	45
0091_2002-05-01 00:00:00_Netherlands.txt	16	30
0074_2001-11-01 00:00:00_Italy.txt	23	48
0241_2005-11-01 00:00:00_Lithuania.txt	16	36
0136_2003-11-01 00:00:00_Netherlands.txt	36	36
0122_2003-04-01 00:00:00_Austria.txt	46	56
0242_2005-11-01 00:00:00_Luxembourg.txt	22	27
0116_2003-04-01 00:00:00_Spain.txt	25	44
0134_2003-11-01 00:00:00_Italy.txt	25	48
0270_2006-04-01 00:00:00_Austria.txt	15	26
0005_1998-10-01 00:00:00_Greece.txt	0	2
0236_2005-11-01 00:00:00_France.txt	24	61
0010_1999-04-01 00:00:00_Denmark.txt	20	19
0145_2004-04-01 00:00:00_Greece.txt	20	38
0064_2001-04-01 00:00:00_Finland.txt	21	46
0112_2003-04-01 00:00:00_Belgium.txt	36	62
0171_2004-04-01 00:00:00_Latvia.txt	19	32
0243_2005-11-01 00:00:00_Hungary.txt	26	31
0175_2004-04-01 00:00:00_Slovakia.txt	21	16
0235_2005-11-01 00:00:00_Spain.txt	42	42
0014_1999-04-01 00:00:00_France.txt	17	22
0109_2002-11-01 00:00:00_Finland.txt	27	41
0217_2005-04-01 00:00:00_Lithuania.txt	20	30
0268_2006-04-01 00:00:00_Malta.txt	22	24
0085_2002-05-01 00:00:00_Greece.txt	26	57
0264_2006-04-01 00:00:00_Latvia.txt	15	37
0182_2004-11-01 00:00:00_Estonia.txt	13	51
0020_1999-04-01 00:00:00_Portugal.txt	7	22
0221_2005-04-01 00:00:00_Netherlands.txt	26	49
0104_2002-11-01 00:00:00_Italy.txt	31	51
0195_2004-11-01 00:00:00_Austria.txt	16	28
0115_2003-04-01 00:00:00_Greece.txt	32	44
0200_2004-11-01 00:00:00_Finland.txt	16	29
0037_2000-04-01 00:00:00_United Kingdom.txt	9	46
0107_2002-11-01 00:00:00_Austria.txt	43	45
0088_2002-05-01 00:00:00_Ireland.txt	32	68
0004_1998-10-01 00:00:00_Netherlands.txt	0	1
0101_2002-11-01 00:00:00_Spain.txt	19	54
0086_2002-05-01 00:00:00_Spain.txt	23	62
0141_2003-11-01 00:00:00_United Kingdom.txt	20	43
0174_2004-04-01 00:00:00_Poland.txt	29	42
0058_2001-04-01 00:00:00_Ireland.txt	25	37
0110_2002-11-01 00:00:00_Sweden.txt	26	40
0006_1998-10-01 00:00:00_Austria.txt	0	2
0113_2003-04-01 00:00:00_Denmark.txt	16	29
0275_2006-04-01 00:00:00_Finland.txt	11	32
0263_2006-04-01 00:00:00_Cyprus.txt	15	42
0149_2004-04-01 00:00:00_Italy.txt	18	39
0003_1998-10-01 00:00:00_Spain.txt	1	11
